Bar0 89,10891089108911 0 Mean
Bar0 95,04950495049505 0 CI+
Bar0 83,66336633663366 0 CI-
Bar1 78,71287128712872 1 Mean
Bar1 81,1881188118812 1 CI+
Bar1 75,74257425742574 1 CI-
Bar2 43,06930693069307 2 Mean
Bar2 50,99009900990099 2 CI+
Bar2 35,148514851485146 2 CI-
Bar3 18,81188118811881 3 Mean
Bar3 24,257425742574256 3 CI+
Bar3 13,861386138613863 3 CI-
