Bar0;967,643235240392;0;Median
Bar0;1182,7556076118815;0;CI+
Bar0;826,9928379205718;0;CI-
Bar1;810,4457323535341;1;Median
Bar1;971,7800116321514;1;CI+
Bar1;702,8895461677895;1;CI-
Bar2;806,3089559617749;2;Median
Bar2;988,3271171991889;2;CI+
Bar2;678,068887817233;2;CI-
Bar3;806,3089559617749;3;Median
Bar3;988,3271171991889;3;CI+
Bar3;682,2056642089924;3;CI-
Bar4;806,3089559617749;4;Median
Bar4;988,3271171991889;4;CI+
Bar4;682,2056642089924;4;CI-
Bar5;752,5308628689024;5;Median
Bar5;918,0019185392791;5;CI+
Bar5;636,7011238996389;5;CI-
Bar6;748,394086477143;6;Median
Bar6;918,0019185392791;6;CI+
Bar6;636,7011238996389;6;CI-
Bar7;363,67388204351766;7;Median
Bar7;429,8623043116683;7;CI+
Bar7;318,1693417341641;7;CI-
Bar8;289,2119069918483;8;Median
Bar8;342,9900000847206;8;CI+
Bar8;256,11769585777296;8;CI-
Bar9;276,80157781657005;9;Median
Bar9;326,442894517683;9;CI+
Bar9;239,57059029073537;9;CI-
Bar10;276,80157781657005;10;Median
Bar10;326,442894517683;10;CI+
Bar10;239,57059029073537;10;CI-
Bar11;276,80157781657005;11;Median
Bar11;326,442894517683;11;CI+
Bar11;239,57059029073537;11;CI-
Bar12;256,11769585777296;12;Median
Bar12;305,7590125588859;12;CI+
Bar12;223,0234847236976;12;CI-
Bar13;260,2544722495323;13;Median
Bar13;305,7590125588859;13;CI+
Bar13;223,0234847236976;13;CI-
Bar14;256,11769585777296;14;Median
Bar14;305,7590125588859;14;CI+
Bar14;223,0234847236976;14;CI-
Bar15;260,2544722495323;15;Median
Bar15;305,7590125588859;15;CI+
Bar15;223,0234847236976;15;CI-
Bar16;210,61315554841937;16;Median
Bar16;251,98091946601357;16;CI+
Bar16;181,65572080610357;16;CI-
Bar17;214,7499319401789;17;Median
Bar17;251,98091946601357;17;CI+
Bar17;185,79249719786293;17;CI-
Bar18;214,7499319401789;18;Median
Bar18;256,11769585777296;18;CI+
Bar18;185,79249719786293;18;CI-
Bar19;198,20282637314114;19;Median
Bar19;239,57059029073537;19;CI+
Bar19;169,24539163082534;19;CI-

