Dose ,Treatment ,Species ,Response_mean_SE
0.1,Moxidectin_form,Hypochaeris radicata L.,95.1 ± 1.7
1,Moxidectin_form,Hypochaeris radicata L.,86.0 ± 3.1
10,Moxidectin_form,Hypochaeris radicata L.,70.0 ± 4.4
0,Moxidectin_form,Cerastium holosteoides Fr.,47.1 ± 2.7
0.1,Moxidectin_form,Cerastium holosteoides Fr.,36.3 ± 3.5
1,Moxidectin_form,Cerastium holosteoides Fr.,32.9 ± 3.2
10,Moxidectin_form,Cerastium holosteoides Fr.,0.6 ± 0.4
0,Moxidectin_form,Dianthus deltoides L.,63.4 ± 4.8
0.1,Moxidectin_form,Dianthus deltoides L.,59.1 ± 4.6
1,Moxidectin_form,Dianthus deltoides L.,38.9 ± 7.5
10,Moxidectin_form,Dianthus deltoides L.,2.0 ± 1.1
0,Moxidectin_form,Lychnis flos-cuculi L.,55.7 ± 3.9
0.1,Moxidectin_form,Lychnis flos-cuculi L.,35.7 ± 4.7
1,Moxidectin_form,Lychnis flos-cuculi L.,33.1 ± 4.9
10,Moxidectin_form,Lychnis flos-cuculi L.,0.9 ± 0.4
0,Moxidectin_form,Hippocrepis comosa L.,22.3 ± 2.5
0.1,Moxidectin_form,Hippocrepis comosa L.,18.0 ± 2.2
1,Moxidectin_form,Hippocrepis comosa L.,15.7 ± 1.4
10,Moxidectin_form,Hippocrepis comosa L.,20.0 ± 2.4
0,Moxidectin_form,Medicago lupulina L,25.4 ± 4.7
0.1,Moxidectin_form,Medicago lupulina L,24.6 ± 1.6
1,Moxidectin_form,Medicago lupulina L,21.7 ± 3.2
10,Moxidectin_form,Medicago lupulina L,20.0 ± 3.4
0,Moxidectin_form,Trifolium aureum POLLICH,71.4 ± 3.3
0.1,Moxidectin_form,Trifolium aureum POLLICH,68.9 ± 1.8
1,Moxidectin_form,Trifolium aureum POLLICH,68.3 ± 2.6
10,Moxidectin_form,Trifolium aureum POLLICH,49.4 ± 8.1
0,Moxidectin_form,Trifolium pratense L.,81.4 ± 2.6
0.1,Moxidectin_form,Trifolium pratense L.,86.3 ± 3.3
1,Moxidectin_form,Trifolium pratense L.,81.7 ± 2.9
10,Moxidectin_form,Trifolium pratense L.,76.9 ± 4.9
0,Moxidectin_form,Plantago lanceolata L.,34.0 ± 3.1
0.1,Moxidectin_form,Plantago lanceolata L.,32.6 ± 3.82
1,Moxidectin_form,Plantago lanceolata L.,29.4 ± 3.0
10,Moxidectin_form,Plantago lanceolata L.,18.9 ± 3.8
0,Moxidectin_form,Plantago media L.,22.0 ± 3.2
0.1,Moxidectin_form,Plantago media L.,3.4 ± 0.7
1,Moxidectin_form,Plantago media L.,5.1 ± 0.7
10,Moxidectin_form,Plantago media L.,1.7 ± 0.5
0,Moxidectin_form,Veronica officinalis L.,5.4 ± 0.9
0.1,Moxidectin_form,Veronica officinalis L.,10.6 ± 5.1
1,Moxidectin_form,Veronica officinalis L.,4.6 ± 1.8
10,Moxidectin_form,Veronica officinalis L.,0.9 ± 0.9
0,Moxidectin_form,Agrostis capillaris L.,70.6 ± 4.3
0.1,Moxidectin_form,Agrostis capillaris L.,65.1 ± 3.1
